# DECL-GEN = (--emit) 2026-09-23 09:02:37 +0800
# DECL-ANCHORS = KD=eed45d278bff3a37 CS=b7b2d513cfdab2eb HO=e4dc264200b421d0 AB=38e67e834430d75c KRJ=089b7324ba12e022 KRF=ab09235afd949bc2 KRP=3c9e3a309b990d31
# grammar: D-[A-Z][0-9]*[a-z]?(-[A-Za-z0-9]+)*
# fields:  ID<TAB><id><TAB>req=<key,key,...|-><TAB>present=<key,key,...>
# 词法边界（实测）：D-ZZ9 **不合法**（scope 段只许"1 个大写字母 + 数字量词 + 可选 1 个小写"）
#   ⇒ 若真需要多位大写 scope，必须**同时**改 FAMRE 与本节说明（否则声明会被判 decl-unparsable）
#   req=K1,K2  ⇒ 该编号在 K1 与 K2 的 route 文件里**各至少出现一次**（缺一个即 FAIL 点名）
#   req=-      ⇒ **家族名/scaffold**（如 `D-G`、`D-T`），不要求在缺陷册里有条目
#   present=   ⇒ 仅"声明依据"（现场快照的并集），**不作判据**；与 `req` 冲突会被判 FAIL
ID	D-G11	req=KD,CS,HO,AB	present=KD,CS,HO,AB
ID	D-G12	req=KD,CS,HO,AB	present=KD,CS,HO,AB
ID	D-G13	req=KD,CS,HO,AB	present=KD,CS,HO,AB
ID	D-G14	req=KD,CS,HO,AB	present=KD,CS,HO,AB,KRJ
ID	D-G15	req=KD,CS,HO,AB	present=KD,CS,HO,AB
ID	D-G16	req=KD,CS,HO,AB	present=KD,CS,HO,AB
ID	D-G17	req=KD,CS,HO,AB	present=KD,CS,HO,AB
ID	D-G18	req=KD,CS,HO,AB	present=KD,CS,HO,AB
ID	D-G19	req=KD,CS,HO,AB	present=KD,CS,HO,AB,KRJ
ID	D-G2	req=KD,CS,HO,AB	present=KD,CS,HO,AB
ID	D-G20	req=KD,CS,HO,AB	present=KD,CS,HO,AB,KRJ
ID	D-G21	req=KD,CS,HO,AB	present=KD,CS,HO,AB
ID	D-G22	req=KD,CS,HO,AB	present=KD,CS,HO,AB
ID	D-G23	req=KD,CS,HO,AB	present=KD,CS,HO,AB
ID	D-G24	req=KD,CS,HO,AB	present=KD,CS,HO,AB
ID	D-G25	req=KD,CS,HO,AB	present=KD,CS,HO,AB,KRJ
ID	D-G26	req=KD,CS,HO,AB	present=KD,CS,HO,AB,KRJ
ID	D-G27	req=KD,CS,HO,AB	present=KD,CS,HO,AB
ID	D-G28	req=KD,CS,AB	present=KD,CS,AB
ID	D-G29	req=KD,CS,HO,AB	present=KD,CS,HO,AB
ID	D-G3	req=KD,CS,HO,AB	present=KD,CS,HO,AB
ID	D-G30	req=KD,CS,HO,AB	present=KD,CS,HO,AB,KRJ
ID	D-G31	req=KD,CS,HO,AB	present=KD,CS,HO,AB
ID	D-G32	req=KD,CS,HO,AB	present=KD,CS,HO,AB
ID	D-G33	req=KD,CS,HO,AB	present=KD,CS,HO,AB
ID	D-G34	req=CS,HO,AB	present=CS,HO,AB
ID	D-G35	req=KD,HO,AB	present=KD,HO,AB
ID	D-G36	req=KD,AB	present=KD,AB
ID	D-G37	req=KD,HO,AB	present=KD,HO,AB
ID	D-G38	req=KD,AB	present=KD,AB
ID	D-G39	req=KD,HO,AB	present=KD,HO,AB
ID	D-G4	req=KD,CS	present=KD,CS
ID	D-G40	req=KD,HO	present=KD,HO
ID	D-G41	req=KD,CS,HO,AB	present=KD,CS,HO,AB
ID	D-G42	req=KD,CS,HO,AB	present=KD,CS,HO,AB
ID	D-G43	req=KD,CS,HO,AB	present=KD,CS,HO,AB
ID	D-G44	req=KD,CS,HO,AB	present=KD,CS,HO,AB
ID	D-G45	req=KD,CS,HO,AB	present=KD,CS,HO,AB
ID	D-G46	req=KD,CS,HO,AB	present=KD,CS,HO,AB
ID	D-G47	req=KD,CS,HO,AB	present=KD,CS,HO,AB
